title,artist,category,image_file,lev_bas,lev_adv,lev_exp,lev_mas,lev_remas,version
HOT LIMIT,T.M.Revolution [covered by 光吉猛修],Popular & Anime,2f53230db95fda85.png,4,6,9,11+,,maimaiDX
ネ！コ！,パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」,Popular & Anime,a46fc4437ca9cdb8.png,4,7,9,12+,,FiNALE
真・ハンサム体操でズンドコホイ,10Re;「学園ハンサム」,Popular & Anime,34e32d0a43e43931.png,5,6,9,12+,,MURASAKi PLUS
GET!! 夢&DREAM,加賀美 祥「学園ハンサム」,Popular & Anime,f1c9303898fd2ad8.png,4,7,8+,11+,,MURASAKi PLUS
バラライカ,Performed by 光吉猛修,Popular & Anime,8447601f724531de.png,4,6,8+,11,,GreeN PLUS
若い力 -SEGA HARD GIRLS MIX-,SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV],Popular & Anime,1ddd109f16985b8a.png,4,6,9,12,12,ORANGE PLUS
セハガガガンバッちゃう！！,Hi☆sCoool! セハガール,Popular & Anime,d5648519628a2a37.png,5,7,10,12+,,PiNK PLUS
ラブリー☆えんじぇる!!,あべにゅうぷろじぇくと feat.佐倉紗織&井上みゆ「パチスロ快盗天使ツインエンジェル」,Popular & Anime,8e9e55fcd3e6528a.png,4,6,9,12,,PiNK
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」,Popular & Anime,5c4d01f3689634af.png,4,7+,10+,12+,,FiNALE
デビル☆アイドル,アイラ（CV：三森すずこ）シマ（CV:井口裕香）はな（CV:花澤香菜）,Popular & Anime,8148ef129c27aadc.png,3,7,9+,12,,maimaiDX
きらっせ☆ウッド村ファーム,uno(IOSYS) feat.miko,Popular & Anime,687032cff68a9090.png,5,7,9,12,,MURASAKi
にじよめちゃん体操第一億,にじよめちゃんとZIPたん,Popular & Anime,efde807a5f65e317.png,4,6,8,13,,MiLK PLUS
Rodeo Machine,HALFBY,Popular & Anime,22be5d0f9ac31bf0.png,3,6,10,13,,MiLK PLUS
true my heart -Lovable mix-,ave;new feat.佐倉紗織,Popular & Anime,25da97d32ca1c198.png,4,6,9,11+,,FiNALE
POP STAR,平井堅 [cover],Popular & Anime,212dcc8c73d2fc43.png,4,6,8,10+,,GreeN PLUS
Love or Lies,capsule [cover],Popular & Anime,4d2c50f8046c8c8f.png,4,6,8,11,,maimai
jelly,capsule [cover],Popular & Anime,a04ffc79950a73a2.png,4,7,8,11+,,maimai
美しく燃える森,東京スカパラダイスオーケストラ [cover],Popular & Anime,02627f1e02b50b2e.png,4,6,8,10,,maimai
Love You,Q;indivi [cover],Popular & Anime,daf6adeacb8fc300.png,5,6,8,11,,maimai
come again,m-flo [cover],Popular & Anime,23aec440c8812a0d.png,5,6,9,11+,,maimai
Future,★STAR GUiTAR [cover],Popular & Anime,507c390321c312eb.png,6,6,8,10,12,maimai
ウッーウッーウマウマ(ﾟ∀ﾟ),Caramell/Caramelldansen [cover],Popular & Anime,ba0f9d3b5b630461.png,5,7,8+,12+,,maimai
NIGHT OF FIRE,NIKO [cover],Popular & Anime,8205c81e9d23470d.png,6,7,9,11,,maimai
YATTA!,はっぱ隊 [cover],Popular & Anime,c2434fdb76299e19.png,3,6,8+,10+,,GreeN PLUS
fake!fake!,カラスは真っ白,Popular & Anime,1f617d599ada17e4.png,4,7,9,12,,PiNK PLUS
HIMITSUスパーク,カラスは真っ白,Popular & Anime,97bcee55165daa06.png,4,6,9,12+,,PiNK
ジンギスカン,仁井山征弘 Feat. GREAT G and surprise,Popular & Anime,6cd10cc6ae9af924.png,4,6,9,12+,,MiLK PLUS
ポップミュージックは僕のもの,ONIGAWARA,Popular & Anime,6bf1a016f52071cd.png,4,6,8+,11+,,MURASAKi
日本の米は世界一,打首獄門同好会,Popular & Anime,22489a6a6859ac30.png,4,6,9+,12+,,MURASAKi PLUS
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,MY FIRST STORY,Popular & Anime,45328a042d519dd8.png,5,7,9+,13,,MiLK
アンドロイドガール,DECO*27,niconico＆VOCALOID™,5847967f87cf1dab.png,4,7+,10,12+,,maimaiDX
スロウダウナー,ろくろ,niconico＆VOCALOID™,1f308086ecb36d24.png,4,7,9+,12,,maimaiDX
ビターチョコデコレーション,syudou,niconico＆VOCALOID™,4bc4d3834acf0534.png,4,7,9+,12+,,maimaiDX
スターリースカイ☆パレード,キノシタ feat. 音街ウナ・鏡音リン,niconico＆VOCALOID™,bf6fcb6a8b2b79a7.png,4,7,10,12,,maimaiDX
だれかの心臓になれたなら,ユリイ・カノン feat.GUMI,niconico＆VOCALOID™,274b280ee4f3f54d.png,4,6,9,11+,,maimaiDX
グリーンライツ・セレナーデ,Omoi feat. 初音ミク,niconico＆VOCALOID™,95af1c4fc14eae36.png,4,7,10,12,,maimaiDX
METEOR,DIVELA feat.初音ミク,niconico＆VOCALOID™,9ddf0c60aef5895b.png,3,7,9,12,,maimaiDX
だからパンを焼いたんだ,あわのあゆむ,niconico＆VOCALOID™,b4e4c2a261a15eb7.png,3,6,9,11+,,maimaiDX
太陽系デスコ,ナユタン星人,niconico＆VOCALOID™,ab3c088d671ddab6.png,4,6,9+,11+,,maimaiDX
彗星ハネムーン,ナユタン星人,niconico＆VOCALOID™,c3e9be8d22de76f7.png,4,6,9,11+,,MiLK PLUS
ダンスロボットダンス,ナユタン星人,niconico＆VOCALOID™,dfd85cc1f0611a87.png,5,7,10,12+,,MiLK
エイリアンエイリアン,ナユタン星人,niconico＆VOCALOID™,30b9a835ccb9b302.png,4,7,9,12,,MURASAKi PLUS
パーフェクト生命,ナユタン星人,niconico＆VOCALOID™,56d88be25a7e2340.png,5,7,9,12+,,PiNK PLUS
Seyana. ～何でも言うことを聞いてくれるアカネチャン～,GYARI,niconico＆VOCALOID™,ac704a32c62481ed.png,4,6,9+,12+,,MiLK PLUS
アカリがやってきたぞっ,GYARI,niconico＆VOCALOID™,1809c99151f29827.png,4,6,10,12+,,maimaiDX
幾望の月,なきゃむりゃ,niconico＆VOCALOID™,b40335c202898759.png,5,7+,10+,12+,,maimaiDX
キミノヨゾラ哨戒班,Orangestar,niconico＆VOCALOID™,356f3d261ce84763.png,4,7,9+,12,,PiNK PLUS
ウミユリ海底譚,n-buna,niconico＆VOCALOID™,e2047e2898d1bc8c.png,4,6,8+,13,,ORANGE PLUS
白ゆき,n-buna,niconico＆VOCALOID™,c30ff16ab6a5e636.png,5,7,10+,12+,,MURASAKi PLUS
イカサマライフゲイム,kemu,niconico＆VOCALOID™,ddb08097777c5683.png,4,7+,10,12+,,maimaiDX
敗北の少年,kemu,niconico＆VOCALOID™,8e9b0eff78428af6.png,5,7+,10+,12+,,FiNALE
インビジブル,kemu,niconico＆VOCALOID™,81e682b1c94a1a56.png,5,7,10,11,13+,MiLK PLUS
人生リセットボタン,kemu,niconico＆VOCALOID™,a54d2e008abd16e8.png,5,7+,11,13,,MiLK
リンカーネイション,kemu,niconico＆VOCALOID™,dbdf6a51040a06b2.png,5,7,10,12+,,MURASAKi PLUS
六兆年と一夜物語,kemu,niconico＆VOCALOID™,0950cc45432555fe.png,5,7+,9,12+,,ORANGE PLUS
フラジール,ぬゆり,niconico＆VOCALOID™,91a0a24f380f5bd0.png,4,7,8+,12,,MURASAKi PLUS
命ばっかり,ぬゆり,niconico＆VOCALOID™,26b88ffa81e99426.png,3,6,8+,12,,FiNALE
フィクサー,ぬゆり,niconico＆VOCALOID™,04e1ae9bd03cd769.png,4,6,9,13,,MiLK PLUS
チュルリラ・チュルリラ・ダッダッダ！,和田たけあき(くらげP),niconico＆VOCALOID™,e500e033148d33c1.png,5,7,10,13,,MURASAKi
サヨナラチェーンソー,くらげP,niconico＆VOCALOID™,e4af463b0c3c84de.png,3,6,9+,12,,maimaiDX
39みゅーじっく！,みきとP,niconico＆VOCALOID™,6c4f705831befadd.png,3,6,9,11+,,maimaiDX
ロキ,みきとP,niconico＆VOCALOID™,b5d48d0f260a213d.png,4,7,9+,11,13,FiNALE
バレリーコ,みきとP,niconico＆VOCALOID™,30bb41cdf66ce0e1.png,4,6,9+,11+,,MiLK
いーあるふぁんくらぶ,みきとP,niconico＆VOCALOID™,b21cc578793a6938.png,3,6,8,10+,,GreeN
